date,code,open,high,low,close,volume,turn,peTTM,psTTM,pcfNcfTTM,pbMRQ,roeAvg
2025-01-14,sh.600028,5.967189,6.024843,5.928753,6.015234,134719766.0,0.142,14.672668,0.244216,-58.767903,0.926894,0.054461
2025-01-15,sh.600028,5.996016,6.130542,5.986407,6.015234,137381771.0,0.1449,14.672668,0.244216,-58.767903,0.926894,0.054461
2025-01-16,sh.600028,6.05367,6.092106,6.005625,6.034452,117598435.0,0.124,14.719546,0.244996,-58.95566,0.929855,0.054461
2025-01-17,sh.600028,6.015234,6.044061,5.967189,5.976798,108355886.0,0.1142,14.578913,0.242656,-58.392389,0.920971,0.054461
2025-01-20,sh.600028,5.996016,6.005625,5.919144,5.928753,142035405.0,0.1498,14.461719,0.240705,-57.922997,0.913568,0.054461
2025-01-21,sh.600028,5.938362,5.947971,5.823054,5.832663,177952934.0,0.1876,14.227332,0.236804,-56.984213,0.898761,0.054461
2025-01-22,sh.600028,5.813445,5.842272,5.7654,5.7654,126871314.0,0.1338,14.06326,0.234073,-56.327064,0.888397,0.054461
2025-01-23,sh.600028,5.784618,5.842272,5.775009,5.794227,134814670.0,0.1421,14.133576,0.235243,-56.608699,0.892839,0.054461
2025-01-24,sh.600028,5.794227,5.832663,5.7654,5.803836,107529468.0,0.1134,14.157015,0.235633,-56.702577,0.894319,0.054461
2025-01-27,sh.600028,5.813445,5.86149,5.813445,5.842272,131362783.0,0.1385,14.25077,0.237194,-57.078091,0.900242,0.054461
2025-02-05,sh.600028,5.851881,5.86149,5.7654,5.784618,131663139.0,0.1388,14.110138,0.234853,-56.51482,0.891358,0.054461
2025-02-06,sh.600028,5.794227,5.851881,5.784618,5.851881,103993507.0,0.1096,14.274209,0.237584,-57.17197,0.901723,0.054461
2025-02-07,sh.600028,5.842272,5.890317,5.813445,5.871099,147852336.0,0.1559,14.321087,0.238364,-57.359726,0.904684,0.054461
2025-02-10,sh.600028,5.86149,5.890317,5.842272,5.871099,124406902.0,0.1312,14.321087,0.238364,-57.359726,0.904684,0.054461
2025-02-11,sh.600028,5.880708,5.919144,5.851881,5.871099,119112534.0,0.1256,14.321087,0.238364,-57.359726,0.904684,0.054461
2025-02-12,sh.600028,5.871099,5.890317,5.832663,5.86149,117835995.0,0.1242,14.297648,0.237974,-57.265848,0.903203,0.054461
2025-02-13,sh.600028,5.86149,5.871099,5.832663,5.832663,126894210.0,0.1338,14.227332,0.236804,-56.984213,0.898761,0.054461
2025-02-14,sh.600028,5.842272,5.851881,5.794227,5.832663,143300989.0,0.1511,14.227332,0.236804,-56.984213,0.898761,0.054461
2025-02-17,sh.600028,5.832663,5.842272,5.784618,5.803836,143310806.0,0.1511,14.157015,0.235633,-56.702577,0.894319,0.054461
2025-02-18,sh.600028,5.794227,5.823054,5.7654,5.775009,183864883.0,0.1939,14.086699,0.234463,-56.420942,0.889877,0.054461
2025-02-19,sh.600028,5.775009,5.775009,5.66931,5.688528,283686840.0,0.2991,13.87575,0.230952,-55.576036,0.876551,0.054461
