code,pubDate,statDate,roeAvg,npMargin,gpMargin,netProfit,epsTTM,MBRevenue,totalShare,liqaShare
sh.600031,2024-10-31,2024-09-30,0.070067,0.086005,0.282681,4978864000.000000,0.628587,,8474978037.00,8464215837.00
sh.600031,2025-04-18,2024-12-31,0.085368,0.078337,0.264312,6092538000.000000,0.705070,75831195000.000000,8474978037.00,8464215837.00
sh.600036,2025-04-30,2025-03-31,0.030164,0.447911,,37513000000.000000,5.852534,,25219845601.00,20628944429.00
sh.600036,2025-08-30,2025-06-30,0.059581,0.443640,,75405000000.000000,5.891313,169969000000.000000,25219845601.00,20628944429.00
sh.600036,2025-10-30,2025-09-30,0.091262,0.455560,,114537000000.000000,5.907213,,25219845601.00,20628944429.00
sh.600036,2024-04-30,2024-03-31,0.034689,0.444843,,38442000000.000000,5.782748,,25219845601.00,20628944429.00
sh.600036,2024-08-30,2024-06-30,0.068365,0.435855,,75379000000.000000,5.772954,172945000000.000000,25219845601.00,20628944429.00
sh.600036,2024-10-30,2024-09-30,0.101561,0.451266,,114039000000.000000,5.784968,,25219845601.00,20628944429.00
sh.600036,2025-03-26,2024-12-31,0.128902,0.443154,,149559000000.000000,5.883898,337488000000.000000,25219845601.00,20628944429.00
sh.600050,2025-04-18,2025-03-31,0.015683,0.057054,0.251124,5896768021.000000,0.293914,,31264425327.00,30766826127.00
sh.600050,2025-08-13,2025-06-30,0.037974,0.072093,0.270571,14433248439.000000,0.298721,178356036169.000000,31264425327.00,30766826127.00
sh.600050,2025-10-23,2025-09-30,0.052093,0.068048,0.269698,19936989025.000000,0.302694,,31264425327.00,30766826127.00
sh.600050,2024-04-20,2024-03-31,0.015237,0.055948,0.245444,5566609684.000000,0.262681,,31800581312.00,30965652312.00
sh.600050,2024-08-16,2024-06-30,0.037376,0.069678,0.260137,13750263942.000000,0.275714,175655869284.000000,31800581312.00,30965652312.00
sh.600050,2024-10-23,2024-09-30,0.051219,0.065396,0.260155,18972914550.000000,0.280912,,31800581312.00,30965652312.00
sh.600050,2025-03-19,2024-12-31,0.055725,0.052878,0.234204,20600584260.000000,0.283954,389589000000.000000,31800581312.00,31280140512.00
sh.600104,2025-04-30,2025-03-31,0.010427,0.029092,0.081295,4005411123.740000,0.170690,,11575299445.00,11575299445.00
sh.600104,2025-08-29,2025-06-30,0.020638,0.028263,0.083148,8318692178.320000,0.091241,,11575299445.00,11575299445.00
sh.600104,2025-10-31,2025-09-30,0.027773,0.026016,0.085608,11999331753.020000,0.248782,,11495277504.00,11495277504.00
sh.600104,2024-04-30,2024-03-31,0.009428,0.020530,0.088412,2853374180.230000,1.212692,,11575299445.00,11575299445.00
sh.600104,2024-08-30,2024-06-30,0.023139,0.026842,0.085259,7437592031.060000,1.179137,,11575299445.00,11575299445.00
sh.600104,2024-10-31,2024-09-30,0.023858,0.020096,0.089065,8433263731.180000,0.829901,,11575299445.00,11575299445.00
sh.600104,2025-04-30,2024-12-31,0.005805,0.009499,0.093839,5833321330.310000,0.143960,627589946567.690000,11575299445.00,11575299445.00
sh.600111,2025-04-30,2025-03-31,0.019011,0.062195,0.112089,577601649.780000,0.382525,,3615065842.00,3615065842.00
sh.600111,2025-08-27,2025-06-30,0.040761,0.067106,0.122755,1266025076.630000,0.522866,18866094300.000000,3615065842.00,3615065842.00
sh.600111,2025-10-28,2025-09-30,0.066556,0.069558,0.115670,2107021915.290000,0.592047,,3615065842.00,3615065842.00
sh.600111,2024-04-30,2024-03-31,0.002404,0.021450,0.076563,123586873.200000,0.415173,,3615065842.00,3615065842.00
sh.600111,2024-08-30,2024-06-30,0.002106,0.017721,0.079582,230195878.900000,0.376245,12989826200.000000,3615065842.00,3615065842.00
sh.600111,2024-10-30,2024-09-30,0.018644,0.038115,0.090408,821745222.710000,0.386065,,3615065842.00,3615065842.00
sh.600111,2025-04-19,2024-12-31,0.045596,0.048184,0.102456,1588437147.570000,0.277803,32803717101.070000,3615065842.00,3615065842.00
sh.600150,2025-04-30,2025-03-31,0.021896,0.080469,0.128362,1276080862.380000,0.970387,,4472428758.00,4472428758.00
sh.600150,2025-08-30,2025-06-30,0.056846,0.083192,0.122071,3354707029.630000,1.151002,39783403300.000000,4472428758.00,4472428758.00
