date,code,open,high,low,close,volume
2025-03-13,sh.000905,6032.8545,6050.1782,5947.7816,5993.967,19371071700.0
2025-03-14,sh.000905,5993.9702,6099.9809,5978.5321,6099.9809,21924583400.0
2025-03-17,sh.000905,6119.6064,6129.8543,6098.5079,6108.0176,18431727300.0
2025-03-18,sh.000905,6126.0357,6161.2281,6114.2064,6133.3018,16602304300.0
2025-03-19,sh.000905,6117.4233,6128.2297,6076.5643,6101.4369,15389378000.0
2025-03-20,sh.000905,6094.8426,6109.1829,6055.3811,6059.4859,14718786500.0
2025-03-21,sh.000905,6038.9899,6071.0846,5951.7952,5971.9302,17410378500.0
2025-03-24,sh.000905,5973.0466,5987.0606,5882.878,5969.0789,16919243500.0
2025-03-25,sh.000905,5969.4164,5993.9312,5929.6734,5946.951,14748394800.0
2025-03-26,sh.000905,5935.8537,5983.4739,5935.8537,5948.4986,13670211100.0
2025-03-27,sh.000905,5932.5165,6000.6615,5891.7664,5957.6017,13470890400.0
2025-03-28,sh.000905,5954.7297,5973.8015,5904.9159,5916.0314,13426192700.0
2025-03-31,sh.000905,5886.956,5908.3026,5802.4187,5857.7721,15425609000.0
2025-04-01,sh.000905,5870.9424,5931.5038,5867.848,5892.8502,13644860200.0
2025-04-02,sh.000905,5884.8925,5936.6467,5884.1126,5899.0865,11215996000.0
2025-04-03,sh.000905,5842.6167,5906.7057,5817.9662,5845.5045,13493862500.0
2025-04-07,sh.000905,5523.9636,5587.8502,5212.6773,5287.0333,23652265600.0
2025-04-08,sh.000905,5279.7566,5371.1834,5249.2318,5326.914,22384066500.0
2025-04-09,sh.000905,5249.6841,5465.1449,5135.9655,5439.7716,24511802700.0
2025-04-10,sh.000905,5534.559,5610.1895,5513.9544,5544.0646,21196303500.0
2025-04-11,sh.000905,5514.188,5631.5954,5510.8949,5581.3184,16441166300.0
2025-04-14,sh.000905,5633.7792,5661.8049,5608.7297,5627.1375,15548707700.0
2025-04-15,sh.000905,5625.0005,5626.677,5567.0271,5602.534,12327370800.0
2025-04-16,sh.000905,5589.7769,5592.6741,5492.6546,5556.8642,13253722400.0
2025-04-17,sh.000905,5527.5905,5604.6198,5526.8881,5557.0105,11365238200.0
2025-04-18,sh.000905,5546.9666,5579.4791,5525.4046,5560.7207,11164425800.0
2025-04-21,sh.000905,5556.5126,5646.2179,5535.6994,5642.3805,12311188300.0
2025-04-22,sh.000905,5634.8936,5651.5541,5617.8786,5624.209,12466668900.0
2025-04-23,sh.000905,5647.9148,5670.2595,5614.7677,5634.9487,12700776400.0
2025-04-24,sh.000905,5633.024,5651.5343,5583.4302,5605.8796,12269669600.0
2025-04-25,sh.000905,5613.1407,5661.5869,5596.5266,5627.1804,14000080000.0
2025-04-28,sh.000905,5624.4166,5628.0778,5587.7857,5598.2951,13621809400.0
2025-04-29,sh.000905,5583.7186,5622.022,5571.2363,5604.9057,12674292700.0
2025-04-30,sh.000905,5604.6537,5647.7821,5603.1718,5631.8249,13838662100.0
2025-05-06,sh.000905,5668.8762,5740.3338,5666.4698,5740.3338,16277360600.0
2025-05-07,sh.000905,5805.656,5819.2422,5713.2734,5750.2911,17101175700.0
2025-05-08,sh.000905,5731.7157,5783.7915,5724.9511,5773.8056,13614032200.0
2025-05-09,sh.000905,5770.441,5770.441,5705.1654,5721.7225,12393900700.0
2025-05-12,sh.000905,5751.4372,5794.5161,5737.4622,5793.6743,13582436700.0
2025-05-13,sh.000905,5838.0341,5838.0341,5772.0723,5781.6683,13827108100.0
2025-05-14,sh.000905,5778.0791,5835.4912,5750.5367,5799.1191,15627999400.0
2025-05-15,sh.000905,5786.7833,5786.7833,5715.2938,5715.2966,13516076800.0
2025-05-16,sh.000905,5703.7354,5735.0121,5703.7354,5715.8491,11670913600.0
2025-05-19,sh.000905,5719.4381,5729.0703,5669.7208,5720.7949,11538493900.0
2025-05-20,sh.000905,5723.5055,5759.4582,5707.8101,5747.367,11689661500.0
2025-05-21,sh.000905,5741.6885,5763.0788,5733.8275,5757.9225,11580454200.0
2025-05-22,sh.000905,5739.1909,5757.7946,5701.1614,5703.2797,10905772000.0
2025-05-23,sh.000905,5697.1362,5738.0829,5653.0436,5653.0436,11436119800.0
2025-05-26,sh.000905,5653.2063,5693.625,5644.5794,5669.4609,9717098900.0
2025-05-27,sh.000905,5666.3027,5667.871,5629.1343,5652.1454,9514936300.0
2025-05-28,sh.000905,5651.8755,5660.4696,5628.4165,5637.2378,9490888300.0
2025-05-29,sh.000905,5637.0633,5724.5185,5637.0633,5719.9101,11468248400.0
2025-05-30,sh.000905,5704.771,5704.771,5665.5177,5671.0723,10990070700.0
2025-06-03,sh.000905,5653.6747,5710.4203,5653.2978,5694.8385,12285390300.0
2025-06-04,sh.000905,5696.5692,5744.4543,5696.5692,5739.0058,11619607700.0
2025-06-05,sh.000905,5741.0298,5778.0959,5719.5466,5769.9675,12522358400.0
2025-06-06,sh.000905,5768.3989,5771.7558,5750.6592,5762.0778,10821766000.0
2025-06-09,sh.000905,5772.7792,5823.899,5765.3547,5805.6543,12818861900.0
2025-06-10,sh.000905,5809.8283,5810.9224,5715.9712,5757.9921,13826918100.0
2025-06-11,sh.000905,5758.5287,5818.5734,5758.5287,5792.9464,12371670700.0
2025-06-12,sh.000905,5780.967,5808.8047,5766.5212,5799.9319,12561584600.0
2025-06-13,sh.000905,5783.156,5794.6698,5728.2114,5740.2397,16761337400.0
2025-06-16,sh.000905,5725.0029,5775.9487,5725.0029,5767.8083,12824265800.0
2025-06-17,sh.000905,5772.296,5776.6325,5734.829,5750.9122,12152662400.0
2025-06-18,sh.000905,5740.1556,5753.7124,5709.8031,5745.8714,11270384400.0
2025-06-19,sh.000905,5733.8068,5750.4643,5660.0504,5676.8317,12553113400.0
2025-06-20,sh.000905,5669.0901,5688.7362,5636.7846,5639.513,10179476600.0
2025-06-23,sh.000905,5613.2813,5684.3973,5613.2813,5674.1704,11160180200.0
2025-06-24,sh.000905,5683.4622,5766.0189,5683.4622,5765.8373,14208225600.0
2025-06-25,sh.000905,5777.7404,5866.5246,5776.1237,5862.5529,18463231000.0
2025-06-26,sh.000905,5868.2924,5885.2508,5835.3395,5838.2454,18016416300.0
2025-06-27,sh.000905,5850.4252,5905.6962,5839.5775,5863.7282,19938972500.0
2025-06-30,sh.000905,5877.6748,5918.3068,5872.2251,5915.3876,16627514700.0
2025-07-01,sh.000905,5915.8043,5936.9237,5890.114,5934.67,15419236500.0
2025-07-02,sh.000905,5922.5407,5922.5407,5873.8918,5892.9505,16250048500.0
2025-07-03,sh.000905,5896.2403,5929.7268,5885.943,5922.66,13007004600.0
2025-07-04,sh.000905,5917.753,5969.3028,5889.7303,5911.4352,16494106000.0
2025-07-07,sh.000905,5901.4018,5910.8036,5889.6023,5900.4056,13720736200.0
2025-07-08,sh.000905,5903.1017,5979.6273,5903.1017,5977.7437,16868114200.0
2025-07-09,sh.000905,5980.6451,5992.1349,5940.1761,5953.4871,16491440200.0
2025-07-10,sh.000905,5950.9657,6000.6858,5942.2901,5983.0505,17624260700.0
2025-07-11,sh.000905,5985.8236,6057.6225,5963.2571,6027.0789,22236309800.0
2025-07-14,sh.000905,6033.1782,6042.8856,6011.6872,6020.8585,18927744400.0
2025-07-15,sh.000905,6018.6274,6049.7867,5973.7969,6018.7583,18973623400.0
2025-07-16,sh.000905,6019.5765,6061.199,5997.1633,6017.1947,14861006200.0
2025-07-17,sh.000905,6013.7141,6082.4644,6013.0436,6082.4644,14969265800.0
2025-07-18,sh.000905,6092.2296,6112.1098,6073.6384,6099.6104,15315220400.0
2025-07-21,sh.000905,6115.0255,6162.4401,6110.988,6161.3086,20735050700.0
2025-07-22,sh.000905,6166.6164,6215.4058,6152.8142,6213.4072,24621164200.0
2025-07-23,sh.000905,6218.2069,6256.1516,6187.0121,6196.7577,25837789600.0
2025-07-24,sh.000905,6197.8532,6293.5984,6197.8532,6293.5984,26835556400.0
2025-07-25,sh.000905,6297.6255,6311.1687,6276.4156,6299.5908,23705532800.0
2025-07-28,sh.000905,6305.2247,6329.0304,6271.93,6323.4198,21444826700.0
2025-07-29,sh.000905,6308.1228,6356.1497,6272.3139,6356.1327,20175762900.0
2025-07-30,sh.000905,6345.3737,6368.2693,6269.5128,6314.6873,21212841100.0
2025-07-31,sh.000905,6297.9122,6322.0651,6206.1902,6226.3432,22421423700.0
2025-08-01,sh.000905,6221.0505,6253.6575,6177.4781,6213.2014,16590719100.0
2025-08-04,sh.000905,6190.3443,6261.9617,6187.6219,6261.7313,14859148000.0
2025-08-05,sh.000905,6277.0114,6303.2359,6272.5062,6303.2359,15420666500.0
2025-08-06,sh.000905,6298.9291,6357.5899,6293.2247,6357.3769,16602763800.0
2025-08-07,sh.000905,6356.3322,6366.2138,6299.4929,6337.5425,17044640000.0
2025-08-08,sh.000905,6324.1746,6351.3348,6308.1478,6323.4999,17250752600.0
2025-08-11,sh.000905,6335.4267,6404.8331,6335.4267,6391.7595,17490919900.0
2025-08-12,sh.000905,6392.4021,6418.1595,6360.1093,6418.1595,16835191800.0
2025-08-13,sh.000905,6422.7889,6514.4558,6422.2147,6508.0978,21602242300.0
2025-08-14,sh.000905,6509.2085,6519.7938,6411.9209,6429.8462,22895316800.0
2025-08-15,sh.000905,6417.3889,6570.4994,6417.3889,6568.57,24521724000.0
2025-08-18,sh.000905,6612.9878,6709.7812,6580.4373,6668.1726,30244822900.0
2025-08-19,sh.000905,6663.157,6707.1139,6631.1193,6655.3105,25283927600.0
2025-08-20,sh.000905,6623.6138,6728.0692,6598.5506,6728.0692,24423390700.0
2025-08-21,sh.000905,6739.6899,6767.3225,6673.0608,6704.1657,24254016400.0
2025-08-22,sh.000905,6704.0297,6823.3626,6704.0297,6822.8469,25678382000.0
2025-08-25,sh.000905,6886.2682,6967.7963,6863.9322,6951.8955,33382894500.0
2025-08-26,sh.000905,6928.2862,7008.9627,6910.4055,6964.0653,28153238200.0
2025-08-27,sh.000905,6964.7697,7074.6302,6862.5624,6862.5624,32806018300.0
2025-08-28,sh.000905,6858.5028,7011.1602,6798.9335,7011.1602,30806178600.0
2025-08-29,sh.000905,7030.2741,7078.923,6990.7532,7043.9416,28091581400.0
2025-09-01,sh.000905,7087.7337,7110.687,7038.3444,7110.2882,28590831100.0
2025-09-02,sh.000905,7108.9446,7108.9446,6909.7234,6961.6894,29403653900.0
2025-09-03,sh.000905,6988.0205,7003.2681,6846.1814,6868.4615,25908326600.0
2025-09-04,sh.000905,6884.3577,6906.6919,6607.9849,6698.4474,27034189400.0
2025-09-05,sh.000905,6709.145,6919.336,6678.5997,6913.9532,24085745700.0
2025-09-08,sh.000905,6927.4071,6995.7178,6896.6601,6992.1169,24417430400.0
2025-09-09,sh.000905,6959.9373,6999.7308,6895.5091,6928.9651,22584355700.0
2025-09-10,sh.000905,6911.1119,6977.7671,6870.4039,6932.1092,18992286700.0
2025-09-11,sh.000905,6924.3036,7123.0523,6889.5863,7122.7051,24395106100.0
2025-09-12,sh.000905,7115.6102,7200.1556,7112.4216,7147.7489,26656750800.0
2025-09-15,sh.000905,7170.4123,7174.8905,7126.8293,7137.3627,23826572400.0
2025-09-16,sh.000905,7152.1887,7195.4246,7080.427,7190.9928,24234918300.0
2025-09-17,sh.000905,7184.2638,7265.3931,7159.6665,7260.0353,25826444900.0
2025-09-18,sh.000905,7248.2786,7350.9772,7115.6308,7199.8828,34858954100.0
2025-09-19,sh.000905,7200.692,7231.9992,7142.061,7170.3488,27150719300.0
2025-09-22,sh.000905,7182.8876,7225.8581,7143.0754,7225.1281,23185806900.0
2025-09-23,sh.000905,7240.8466,7250.8156,7045.5606,7180.7137,28128363400.0
2025-09-24,sh.000905,7140.3128,7327.0207,7133.4321,7323.7093,24006493800.0
2025-09-25,sh.000905,7325.6602,7379.6109,7312.3508,7341.3238,23617503000.0
2025-09-26,sh.000905,7311.8433,7351.7931,7237.0459,7240.9114,21144414800.0
2025-09-29,sh.000905,7251.5221,7377.2217,7216.7357,7350.5599,23353941800.0
2025-09-30,sh.000905,7372.524,7428.0307,7372.0634,7412.3684,22070750200.0
2025-10-09,sh.000905,7470.0474,7559.092,7437.3242,7548.9226,28313078400.0
2025-10-10,sh.000905,7499.3917,7509.1161,7373.9841,7398.2241,26225664600.0
2025-10-13,sh.000905,7135.104,7391.8246,7135.104,7376.5636,25802781700.0
2025-10-14,sh.000905,7434.1149,7459.0156,7166.0822,7194.8509,27735887300.0
2025-10-15,sh.000905,7205.7367,7294.0014,7153.4185,7294.0014,21755977700.0
2025-10-16,sh.000905,7269.2587,7305.9472,7206.4433,7231.5336,19493637000.0
2025-10-17,sh.000905,7226.4214,7254.5786,7009.8906,7016.0661,20004411300.0
2025-10-20,sh.000905,7092.8836,7129.9939,7033.3835,7069.6412,17683419200.0
2025-10-21,sh.000905,7095.6159,7193.73,7082.2995,7185.624,20597382900.0
2025-10-22,sh.000905,7135.2084,7166.5571,7101.8265,7128.4776,16974325400.0
2025-10-23,sh.000905,7108.8545,7153.6555,7022.2945,7142.9536,18893373200.0
2025-10-24,sh.000905,7175.9233,7258.5343,7174.351,7258.5343,19532393300.0
2025-10-27,sh.000905,7336.2041,7391.2121,7302.0165,7379.3941,23205182100.0
2025-10-28,sh.000905,7344.4539,7404.756,7308.2722,7341.0304,20211846300.0
2025-10-29,sh.000905,7350.7566,7480.9666,7350.7566,7480.9666,22384413300.0
2025-10-30,sh.000905,7462.4326,7463.6529,7375.2391,7385.7109,24341203600.0
2025-10-31,sh.000905,7385.7423,7430.8564,7331.0031,7331.0031,23204167600.0
2025-11-03,sh.000905,7327.12,7336.5108,7214.8331,7333.6013,22168706000.0
2025-11-04,sh.000905,7315.1888,7323.7044,7167.3474,7210.8253,19332584200.0
2025-11-05,sh.000905,7098.9557,7257.84,7098.9557,7229.341,19558024300.0
2025-11-06,sh.000905,7243.1959,7352.1766,7243.1959,7345.723,20172296700.0
2025-11-07,sh.000905,7307.2959,7371.4378,7285.8192,7327.9108,19292057800.0
2025-11-10,sh.000905,7357.3392,7384.7854,7289.7682,7343.8017,20450133000.0
2025-11-11,sh.000905,7364.9251,7379.806,7281.9746,7291.6084,19166031300.0
2025-11-12,sh.000905,7264.792,7305.8564,7187.8685,7243.2483,18550701000.0
2025-11-13,sh.000905,7243.64,7366.4121,7243.64,7355.2911,19989023000.0
2025-11-14,sh.000905,7283.6993,7329.5958,7235.4617,7235.4617,20586491000.0
2025-11-17,sh.000905,7248.9216,7262.3306,7202.5932,7235.3512,20305060200.0
2025-11-18,sh.000905,7215.0302,7230.5416,7118.4085,7151.0176,20221412100.0
2025-11-19,sh.000905,7141.2641,7178.1495,7086.1232,7122.7465,16278660200.0
2025-11-20,sh.000905,7174.1046,7180.732,7056.9003,7061.9497,15961874600.0
2025-11-21,sh.000905,6955.7485,6986.7784,6817.4103,6817.4103,20893338400.0
