date,code,name
2026/3/1,sz.300027,华谊兄弟
2026/3/1,sz.300031,宝通科技
2026/3/1,sz.300034,钢研高纳
2026/3/1,sz.300035,中科电气
2026/3/1,sz.300036,超图软件
2026/3/1,sz.300045,华力创通
2026/3/1,sz.300047,天源迪科
2026/3/1,sz.300049,福瑞医科
2026/3/1,sz.300065,海兰信
2026/3/1,sz.300068,南都电源
2026/3/1,sz.300075,数字政通
2026/3/1,sz.300077,国民技术
2026/3/1,sz.300079,数码视讯
2026/3/1,sz.300080,易成新能
2026/3/1,sz.300083,创世纪
2026/3/1,sz.300085,银之杰
2026/3/1,sz.300087,荃银高科
2026/3/1,sz.300088,长信科技
2026/3/1,sz.300098,高新兴
2026/3/1,sz.300101,振芯科技
2026/3/1,sz.300102,乾照光电
2026/3/1,sz.300113,顺网科技
2026/3/1,sz.300119,瑞普生物
2026/3/1,sz.300127,银河磁体
2026/3/1,sz.300130,新国都
2026/3/1,sz.300131,英唐智控
2026/3/1,sz.300133,华策影视
2026/3/1,sz.300134,大富科技
2026/3/1,sz.300151,昌红科技
2026/3/1,sz.300166,东方国信
2026/3/1,sz.300170,汉得信息
2026/3/1,sz.300171,东富龙
2026/3/1,sz.300180,华峰超纤
2026/3/1,sz.300181,佐力药业
2026/3/1,sz.300182,捷成股份
2026/3/1,sz.300183,东软载波
2026/3/1,sz.300184,力源信息
2026/3/1,sz.300185,通裕重工
2026/3/1,sz.300188,国投智能
2026/3/1,sz.300199,翰宇药业
2026/3/1,sz.300224,正海磁材
2026/3/1,sz.300226,上海钢联
2026/3/1,sz.300229,拓尔思
2026/3/1,sz.300232,洲明科技
2026/3/1,sz.300236,上海新阳
2026/3/1,sz.300244,迪安诊断
2026/3/1,sz.300253,卫宁健康
2026/3/1,sz.300257,开山股份
2026/3/1,sz.300260,新莱应材
2026/3/1,sz.300276,三丰智能
2026/3/1,sz.300284,苏交科
2026/3/1,sz.300294,博雅生物
2026/3/1,sz.300296,利亚德
2026/3/1,sz.300298,三诺生物
2026/3/1,sz.300303,聚飞光电
2026/3/1,sz.300315,掌趣科技
2026/3/1,sz.300319,麦捷科技
2026/3/1,sz.300323,华灿光电
2026/3/1,sz.300327,中颖电子
2026/3/1,sz.300337,银邦股份
2026/3/1,sz.300341,麦克奥迪
2026/3/1,sz.300348,长亮科技
2026/3/1,sz.300352,北信源
2026/3/1,sz.300357,我武生物
2026/3/1,sz.300360,炬华科技
2026/3/1,sz.300363,博腾股份
2026/3/1,sz.300378,鼎捷数智
2026/3/1,sz.300398,飞凯材料
2026/3/1,sz.300401,花园生物
2026/3/1,sz.300406,九强生物
2026/3/1,sz.300409,道氏技术
2026/3/1,sz.300415,伊之密
2026/3/1,sz.300416,苏试试验
2026/3/1,sz.300428,立中集团
2026/3/1,sz.300438,鹏辉能源
2026/3/1,sz.300443,金雷股份
2026/3/1,sz.300446,航天智造
2026/3/1,sz.300451,创业慧康
2026/3/1,sz.300455,航天智装
2026/3/1,sz.300456,赛微电子
2026/3/1,sz.300457,赢合科技
2026/3/1,sz.300459,汤姆猫
2026/3/1,sz.300463,迈克生物
2026/3/1,sz.300468,四方精创
2026/3/1,sz.300470,中密控股
2026/3/1,sz.300475,香农芯创
2026/3/1,sz.300482,万孚生物
2026/3/1,sz.300492,华图山鼎
2026/3/1,sz.300493,润欣科技
2026/3/1,sz.300525,博思软件
2026/3/1,sz.300548,长芯博创
2026/3/1,sz.300568,星源材质
2026/3/1,sz.300573,兴齐眼药
2026/3/1,sz.300576,容大感光
2026/3/1,sz.300579,数字认证
2026/3/1,sz.300580,贝斯特
2026/3/1,sz.300593,新雷能
2026/3/1,sz.300595,欧普康视
2026/3/1,sz.300598,诚迈科技
2026/3/1,sz.300602,飞荣达
2026/3/1,sz.300607,拓斯达
2026/3/1,sz.300613,富瀚微
2026/3/1,sz.300618,寒锐钴业
2026/3/1,sz.300620,光库科技
2026/3/1,sz.300624,万兴科技
2026/3/1,sz.300633,开立医疗
2026/3/1,sz.300634,彩讯股份
2026/3/1,sz.300638,广和通
2026/3/1,sz.300641,正丹股份
2026/3/1,sz.300655,晶瑞电材
2026/3/1,sz.300657,弘信电子
2026/3/1,sz.300660,江苏雷利
2026/3/1,sz.300663,科蓝软件
2026/3/1,sz.300666,江丰电子
2026/3/1,sz.300672,国科微
2026/3/1,sz.300674,宇信科技
2026/3/1,sz.300678,中科信息
2026/3/1,sz.300682,朗新科技
2026/3/1,sz.300685,艾德生物
2026/3/1,sz.300687,赛意信息
2026/3/1,sz.300693,盛弘股份
2026/3/1,sz.300702,天宇股份
2026/3/1,sz.300705,九典制药
2026/3/1,sz.300723,一品红
2026/3/1,sz.300725,药石科技
2026/3/1,sz.300726,宏达电子
2026/3/1,sz.300738,奥飞数据
2026/3/1,sz.300747,锐科激光
2026/3/1,sz.300755,华致酒行
2026/3/1,sz.300761,立华股份
2026/3/1,sz.300762,上海瀚讯
2026/3/1,sz.300768,迪普科技
2026/3/1,sz.300770,新媒股份
2026/3/1,sz.300772,运达股份
2026/3/1,sz.300773,拉卡拉
2026/3/1,sz.300775,三角防务
2026/3/1,sz.300776,帝尔激光
2026/3/1,sz.300777,中简科技
2026/3/1,sz.300779,惠城环保
2026/3/1,sz.300783,三只松鼠
2026/3/1,sz.300809,华辰装备
2026/3/1,sz.300811,铂科新材
2026/3/1,sz.300820,英杰电气
2026/3/1,sz.300821,东岳硅材
2026/3/1,sz.300827,上能电气
2026/3/1,sz.300841,康华生物
2026/3/1,sz.300850,新强联
2026/3/1,sz.300855,图南股份
2026/3/1,sz.300856,科思股份
2026/3/1,sz.300861,美畅股份
2026/3/1,sz.300870,欧陆通
2026/3/1,sz.300910,瑞丰新材
2026/3/1,sz.300913,兆龙互连
2026/3/1,sz.300917,特发服务
2026/3/1,sz.300925,法本信息
2026/3/1,sz.300926,博俊科技
2026/3/1,sz.300953,震裕科技
2026/3/1,sz.301000,肇民科技
2026/3/1,sz.301004,嘉益股份
2026/3/1,sz.301015,百洋医药
2026/3/1,sz.301018,申菱环境
2026/3/1,sz.301029,怡合达
2026/3/1,sz.301031,中熔电气
2026/3/1,sz.301035,润丰股份
2026/3/1,sz.301039,中集车辆
2026/3/1,sz.301047,义翘神州
2026/3/1,sz.301050,雷电微力
2026/3/1,sz.301061,匠心家居
2026/3/1,sz.301071,力量钻石
2026/3/1,sz.301078,孩子王
2026/3/1,sz.301087,可孚医疗
2026/3/1,sz.301091,深城交
2026/3/1,sz.301095,广立微
2026/3/1,sz.301101,明月镜片
2026/3/1,sz.301109,军信股份
2026/3/1,sz.301127,武汉天源
2026/3/1,sz.301153,中科江南
2026/3/1,sz.301155,海力风电
2026/3/1,sz.301171,易点天下
2026/3/1,sz.301175,中科环保
2026/3/1,sz.301177,迪阿股份
2026/3/1,sz.301205,联特科技
2026/3/1,sz.301207,华兰疫苗
2026/3/1,sz.301215,中汽股份
2026/3/1,sz.301217,铜冠铜箔
2026/3/1,sz.301219,腾远钴业
2026/3/1,sz.301238,瑞泰新材
2026/3/1,sz.301262,海看股份
2026/3/1,sz.301263,泰恩康
2026/3/1,sz.301267,华厦眼科
2026/3/1,sz.301268,铭利达
2026/3/1,sz.301275,汉朔科技
2026/3/1,sz.301291,明阳电气
2026/3/1,sz.301293,三博脑科
2026/3/1,sz.301297,富乐德
2026/3/1,sz.301316,慧博云通
2026/3/1,sz.301325,曼恩斯特
2026/3/1,sz.301327,华宝新能
2026/3/1,sz.301339,通行宝
2026/3/1,sz.301345,涛涛车业
2026/3/1,sz.301363,美好医疗
2026/3/1,sz.301371,敷尔佳
2026/3/1,sz.301376,致欧科技
2026/3/1,sz.301377,鼎泰高科
2026/3/1,sz.301381,赛维时代
2026/3/1,sz.301392,汇成真空
2026/3/1,sz.301458,钧崴电子
2026/3/1,sz.301487,盟固利
2026/3/1,sz.301500,飞南资源
2026/3/1,sz.301508,中机认检
2026/3/1,sz.301510,固高科技
2026/3/1,sz.301511,德福科技
2026/3/1,sz.301522,上大股份
2026/3/1,sz.301526,国际复材
2026/3/1,sz.301550,斯菱智驱
2026/3/1,sz.301551,无线传媒
2026/3/1,sz.301556,托普云农
2026/3/1,sz.301565,中仑新材
2026/3/1,sz.301571,国科天成
2026/3/1,sz.301589,诺瓦星云
2026/3/1,sz.301592,六九一二
2026/3/1,sz.301600,慧翰股份
2026/3/1,sz.301602,超研股份
2026/3/1,sz.301606,绿联科技
2026/3/1,sz.301622,英思特
2026/3/1,sz.301626,苏州天脉
2026/3/1,sz.301631,壹连科技
2026/3/1,sz.301658,首航新能
2026/3/1,sz.301665,泰禾股份
2026/3/1,sz.301678,新恒汇
2026/3/1,sh.600006,东风股份
2026/3/1,sh.600012,皖通高速
2026/3/1,sh.600017,日照港
2026/3/1,sh.600020,中原高速
2026/3/1,sh.600022,山东钢铁
2026/3/1,sh.600033,福建高速
2026/3/1,sh.600037,歌华有线
2026/3/1,sh.600055,万东医疗
2026/3/1,sh.600056,中国医药
2026/3/1,sh.600057,厦门象屿
2026/3/1,sh.600058,五矿发展
2026/3/1,sh.600059,古越龙山
2026/3/1,sh.600063,皖维高新
2026/3/1,sh.600064,南京高科
2026/3/1,sh.600072,中船科技
2026/3/1,sh.600075,新疆天业
2026/3/1,sh.600094,大名城
2026/3/1,sh.600100,同方股份
2026/3/1,sh.600105,永鼎股份
2026/3/1,sh.600113,浙江东日
2026/3/1,sh.600114,东睦股份
2026/3/1,sh.600116,三峡水利
2026/3/1,sh.600120,浙江东方
2026/3/1,sh.600123,兰花科创
2026/3/1,sh.600125,铁龙物流
2026/3/1,sh.600129,太极集团
2026/3/1,sh.600133,东湖高新
2026/3/1,sh.600151,航天机电
2026/3/1,sh.600155,华创云信
2026/3/1,sh.600158,中体产业
2026/3/1,sh.600163,中闽能源
2026/3/1,sh.600167,联美控股
2026/3/1,sh.600179,安通控股
2026/3/1,sh.600185,珠免集团
2026/3/1,sh.600186,莲花控股
2026/3/1,sh.600197,伊力特
2026/3/1,sh.600201,生物股份
2026/3/1,sh.600206,有研新材
2026/3/1,sh.600210,紫江企业
2026/3/1,sh.600211,西藏药业
2026/3/1,sh.600216,浙江医药
2026/3/1,sh.600217,中再资环
2026/3/1,sh.600223,福瑞达
2026/3/1,sh.600246,万通发展
2026/3/1,sh.600248,陕建股份
2026/3/1,sh.600252,中恒集团
2026/3/1,sh.600258,首旅酒店
2026/3/1,sh.600259,中稀有色
