code,pubDate,statDate,roeAvg,npMargin,gpMargin,netProfit,epsTTM,MBRevenue,totalShare,liqaShare
sh.688281,2024-04-26,2024-03-31,0.026854,0.440925,0.587634,109174671.910000,2.595896,,139066671.00,34766671.00
sh.688281,2024-08-13,2024-06-30,0.050285,0.421030,0.562711,204269780.990000,1.885121,485101699.740000,194693339.00,48673339.00
sh.688281,2024-10-25,2024-09-30,0.071386,0.395546,0.546108,291828970.750000,1.920879,,194693339.00,48673339.00
sh.688281,2025-04-25,2024-12-31,0.094336,0.344686,0.506886,392682080.410000,2.126022,1131140000.000000,194693339.00,48673339.00
sh.688281,2025-04-25,2025-03-31,0.013642,0.232296,0.407874,56089070.940000,1.860234,,194693339.00,121683339.00
sh.688281,2025-08-22,2025-06-30,0.031770,0.260856,0.475689,134709688.120000,1.261890,509925320.660000,272570675.00,170356675.00
sh.688281,2025-10-29,2025-09-30,0.052647,0.270254,0.476865,216606697.640000,1.274724,,272570675.00,272570675.00
sh.688295,2024-04-27,2024-03-31,0.008587,0.093180,0.252513,41785664.100000,0.254086,,900000000.00,137806339.00
sh.688295,2024-08-28,2024-06-30,0.005192,0.034105,0.233212,24973443.360000,0.135452,732248482.190000,900000000.00,144650558.00
sh.688295,2024-10-25,2024-09-30,-0.001740,-0.007454,0.192635,-8338793.320000,0.018261,,900000000.00,144650558.00
sh.688295,2025-03-26,2024-12-31,-0.026268,-0.079871,0.142482,-124383864.800000,-0.138204,1543347500.000000,900000000.00,144650558.00
sh.688295,2025-04-25,2025-03-31,-0.009826,-0.112561,0.033800,-45228808.570000,-0.234887,,900000000.00,144650558.00
sh.688295,2025-08-28,2025-06-30,0.002575,0.012944,0.153130,11929839.000000,-0.152697,921617886.880000,900000000.00,601600718.00
sh.688295,2025-10-23,2025-09-30,0.013512,0.040948,0.178212,62934646.330000,-0.059012,,900000000.00,601600718.00
sh.688297,2024-04-27,2024-03-31,-0.004626,-0.440455,0.271483,-26996400.070000,0.312718,,675000000.00,265569463.00
sh.688297,2024-08-31,2024-06-30,-0.006651,-0.141145,0.274381,-38393552.730000,0.074759,272014074.610000,675000000.00,265569463.00
sh.688297,2024-10-31,2024-09-30,-0.014392,-0.224035,0.263132,-82749235.050000,-0.034142,,675000000.00,271621943.00
sh.688297,2025-04-01,2024-12-31,-0.009351,-0.078682,0.320469,-53916050.030000,-0.079876,685242333.640000,675000000.00,271621943.00
sh.688297,2025-04-26,2025-03-31,0.002957,0.071452,0.275063,16845138.590000,-0.014925,,675000000.00,271621943.00
sh.688297,2025-08-30,2025-06-30,0.005570,0.072428,0.265476,31773301.920000,0.024075,438687897.710000,675000000.00,675000000.00
sh.688297,2025-10-31,2025-09-30,0.005931,0.021865,0.111032,33839789.520000,0.092849,,675000000.00,675000000.00
sh.688301,2024-04-30,2024-03-31,0.031630,0.279390,0.533265,137155894.490000,5.981066,,101998932.00,101998932.00
sh.688301,2024-08-31,2024-06-30,0.069859,0.292734,0.541547,300389639.180000,4.135840,1026151704.710000,142728932.00,142728932.00
sh.688301,2024-10-26,2024-09-30,0.087521,0.279138,0.542758,378558987.370000,3.954957,,142788614.00,142788614.00
sh.688301,2025-04-26,2024-12-31,0.103729,0.245935,0.501085,450404526.510000,3.251556,1712884300.000000,143062818.00,143062818.00
sh.688301,2025-04-26,2025-03-31,0.030381,0.281710,0.489215,135644940.700000,3.278278,,143062818.00,143062818.00
sh.688301,2025-08-16,2025-06-30,0.070512,0.304702,0.529727,324998931.520000,2.458828,1066611820.180000,200218370.00,200218370.00
sh.688301,2025-10-29,2025-09-30,0.087827,0.294848,0.519845,456733352.350000,2.724962,,200218370.00,200218370.00
sh.688318,2024-04-30,2024-03-31,0.014518,0.706549,0.811740,50197623.150000,2.332089,,130673200.00,130673200.00
sh.688318,2024-08-29,2024-06-30,0.029265,0.680071,0.825986,100396780.350000,1.598183,147511309.730000,182942480.00,182942480.00
sh.688318,2024-10-30,2024-09-30,0.041720,0.684922,0.820388,144024594.550000,1.402342,,182942480.00,182942480.00
sh.688318,2025-03-29,2024-12-31,0.086290,0.781412,0.859764,303956987.350000,1.661403,388772541.540000,182942480.00,182942480.00
sh.688318,2025-04-30,2025-03-31,0.012789,0.846846,0.813907,46494791.330000,1.641189,,182942480.00,182942480.00
